director,first_actor,second_actor,third_actor,genres,movie_title,soup,overview
Steve Pink,Charlie McDermott,Collette Wolfe,Crystal Lowe,Comedy Sci-Fi,hot tub time machine,charliemcdermott collettewolfe crystallowe stevepink Comedy Sci-Fi,"A malfunctioning time machine at a ski resort takes a man back to 1986 with his two friends and nephew, where they must relive a fateful night and not change anything to make sure the nephew is born."
Charles Martin Smith,Morgan Freeman,Taylor Blackwell,Harry Connick Jr.,Drama Family,dolphin tale 2,morganfreeman taylorblackwell harryconnickjr. charlesmartinsmith Drama Family,The team of people who saved Winter's life reassemble in the wake of her surrogate mother's passing in order to find her a companion so she can remain at the Clearwater Marine Hospital.
John Frankenheimer,Charlize Theron,James Frain,Clarence Williams III,Action Adventure Crime Drama Family Fantasy Romance Thriller,reindeer games,charlizetheron jamesfrain clarencewilliamsiii johnfrankenheimer Action Adventure Crime Drama Family Fantasy Romance Thriller,"After assuming his dead cellmate's identity to get with his girlfriend, an ex-con finds himself the reluctant participant in a casino heist."
F. Gary Gray,Vin Diesel,Jeff Kober,Larenz Tate,Action Crime Drama Thriller,a man apart,vindiesel jeffkober larenztate f.garygray Action Crime Drama Thriller,"When Vetter's wife is killed in a botched hit organized by Diablo, he seeks revenge against those responsible. But in the process, Vetter and Hicks have to fight their way up the chain to get to Diablo but it's easier said than done when all Vetter can focus on is revenge."
Rob Reiner,Alexa PenaVega,Virginia Madsen,Craig T. Nelson,Drama History,ghosts of mississippi,alexapenavega virginiamadsen craigt.nelson robreiner Drama History,"Ghosts of Mississippi is a drama covering the final trial of the assassin, Bryon De La Beckwith, of the 60s civil rights leader Medgar Evers. It begins with the murder and the events surrounding the two initial trials which both ended in a hung jury. The movie then covers District Attorney, Bobby DeLaughters transformation and alliance with Myrlie Evers, wife of Medgar Evers, of the, as he becomes more involved with bringing Beckwith to trial for the third time 30 years later. Some of the characters are played by the actual participants in this story."
Scott Hicks,Rick Yune,Reeve Carney,Daniel von Bargen,Drama Mystery Romance Thriller,snow falling on cedars,rickyune reevecarney danielvonbargen scotthicks Drama Mystery Romance Thriller,"A Japanese-American fisherman may have killed his neighbor Carl at sea. In the 1950s, race figures in the trial. So does reporter Ishmael."
Mikael Håfström,Anthony Hopkins,Colin O'Donoghue,Toby Jones,Drama Horror Mystery Thriller,the rite,anthonyhopkins colino'donoghue tobyjones mikaelhåfström Drama Horror Mystery Thriller,"Seminary student Michael Kovak (Colin O'Donoghue) reluctantly attends exorcism school at the Vatican. While he’s in Rome, Michael meets an unorthodox priest, Father Lucas (Anthony Hopkins), who introduces him to the darker side of his faith, uncovering the devil’s reach even to one of the holiest places on Earth."
Andrew Niccol,Blair Underwood,Xander Berkeley,Mason Gamble,Drama Sci-Fi Thriller,gattaca,blairunderwood xanderberkeley masongamble andrewniccol Drama Sci-Fi Thriller,"Science fiction drama about a future society in the era of indefinite eugenics where humans are set on a life course depending on their DNA. The young Vincent Freeman is born with a condition that would prevent him from space travel, yet he is determined to infiltrate the GATTACA space program."
Andrew Bergman,Stockard Channing,Nathan Lane,John Larroquette,Biography Comedy Romance,isn't she great,stockardchanning nathanlane johnlarroquette andrewbergman Biography Comedy Romance,"An unsuccessful over-the-top actress becomes a successful over-the-top authoress in this biography of Jacqueline Susann, the famed writer of ""The Valley Of The Dolls"" and other trashy novels. Facing a failing career, Susann meets a successful promoter who becomes her husband. After several failures to place her in commercials and a TV quiz show, he hits upon the idea for her to become a writer. In the pre-60's, her books were looked upon as trash and non-printable. But then the sexual revolution hit and an audience was born for her books. The story shows the hidden behind the scenes story of Susan's life, including her autistic son and her continuing bout with cancer that she hid up to her death"
Kirk De Micco,Cheryl Hines,Kenan Thompson,Omid Abtahi,Adventure Animation Comedy Family Sci-Fi,space chimps,cherylhines kenanthompson omidabtahi kirkdemicco Adventure Animation Comedy Family Sci-Fi,"Circus monkey Ham III works in a circus where he's regularly shot from a canon but he still lives in the shadow of his father's legacy. A natural born rebel against authority, Ham III is initially reluctant to go on a dangerous space mission to rescue a lost space probe, but away he goes, for lots of RIGHT STUFF-style astro-training alongside two highly prepared chimps, Luna and Titan."
Chris Rock,Bernie Mac,Dylan Baker,Tracy Morgan,Comedy,head of state,berniemac dylanbaker tracymorgan chrisrock Comedy,"When a presidential candidate dies unexpectedly in the middle of the campaign, the Democratic party unexpectedly picks a Washington, D.C. alderman, Mays Gilliam (Rock) as his replacement ."
Todd Phillips,Bradley Cooper,Rob Riggle,Mike Epps,Comedy,the hangover,bradleycooper robriggle mikeepps toddphillips Comedy,"When three friends finally come to after a raucous night of bachelor-party revelry, they find a baby in the closet and a tiger in the bathroom. But they can't seem to locate their best friend, Doug – who's supposed to be tying the knot. Launching a frantic search for Doug, the trio perseveres through a nasty hangover to try to make it to the church on time."
Wilson Yip,Mike Tyson,Lynn Hung,Kwok-Kwan Chan,Action Biography Drama History,ip man 3,miketyson lynnhung kwok-kwanchan wilsonyip Action Biography Drama History,"When a band of brutal gangsters led by a crooked property developer make a play to take over the city, Master Ip is forced to take a stand."
Jay Roach,Muse Watson,Verne Troyer,Robert Wagner,Action Adventure Comedy Crime,austin powers: the spy who shagged me,musewatson vernetroyer robertwagner jayroach Action Adventure Comedy Crime,"When diabolical genius, Dr. Evil travels back in time to steal superspy Austin Powers's ‘mojo’, Austin must return to the swingin' '60s himself – with the help of American agent, Felicity Shagwell – to stop the dastardly plan. Once there, Austin faces off against Dr. Evil's army of minions and saves the world in his own unbelievably groovy way."
Tim Burton,Michael Gough,Jack Palance,William Hootkins,Action Adventure,batman,michaelgough jackpalance williamhootkins timburton Action Adventure,"The Dark Knight of Gotham City begins his war on crime with his first major enemy being the clownishly homicidal Joker, who has seized control of Gotham's underworld."
Roland Joffé,Jordi Mollà,Dougray Scott,Lily Cole,Biography Drama War,there be dragons,jordimollà dougrayscott lilycole rolandjoffé Biography Drama War,"Arising out of the horror of the Spanish Civil War, a candidate for canonization is investigated by a journalist who discovers his own estranged father had a deep, dark and devastating connection to the saint's life.While researching the life of Josemaria Escriva, the controversial founder of Opus Dei, the young journalist Robert uncovers hidden stories of his estranged father Manolo, and is taken on a journey through the dark, terrible secrets of his family’s past."
Richard Donner,Rene Russo,Nick Chinlund,Stuart Wilson,Action Crime Thriller,lethal weapon 3,renerusso nickchinlund stuartwilson richarddonner Action Crime Thriller,"Archetypal buddy cops Riggs and Murtaugh are back for another round of high-stakes action, this time setting their collective sights on bringing down a former Los Angeles police lieutenant turned black market weapons dealer. Lorna Cole joins as the beautiful yet hardnosed internal affairs sergeant who catches Riggs's eye."
John Lee Hancock,Catherine Dyer,Quinton Aaron,Kim Dickens,Biography Drama Sport,the blind side,catherinedyer quintonaaron kimdickens johnleehancock Biography Drama Sport,"Oversized African-American, Michael Oher, the teen from across the tracks and a broken home, has nowhere to sleep at age 16. Taken in by an affluent Memphis couple, Michael embarks on a remarkable rise to play for the NFL."
Robert Rodriguez,Alexa PenaVega,Cheech Marin,Daryl Sabara,Action Adventure Comedy Family Sci-Fi,spy kids,alexapenavega cheechmarin darylsabara robertrodriguez Action Adventure Comedy Family Sci-Fi,"Carmen and Juni think their parents are boring. Little do they know that in their day, Gregorio and Ingrid Cortez were the top secret agents from their respective countries. They gave up that life to raise their children. Now, the disappearances of several of their old colleagues forces the Cortez' return from retirement. What they didn't count on was Carmen and Juni joining the ""family business."""
Seth Gordon,Kevin Spacey,Lindsay Sloane,Reginald Ballard,Comedy Crime,horrible bosses,kevinspacey lindsaysloane reginaldballard sethgordon Comedy Crime,"For Nick, Kurt and Dale, the only thing that would make the daily grind more tolerable would be to grind their intolerable bosses into dust. Quitting is not an option, so, with the benefit of a few-too-many drinks and some dubious advice from a hustling ex-con, the three friends devise a convoluted and seemingly foolproof plan to rid themselves of their respective employers... permanently."
Ethan Coen,Matt Damon,Jeff Bridges,Bruce Green,Adventure Drama Western,true grit,mattdamon jeffbridges brucegreen ethancoen Adventure Drama Western,"The murder of her father sends a teenage tomboy, Mattie Ross (Kim Darby), on a mission of ""justice"", which involves avenging her father's death. She recruits a tough old marshal, ""Rooster"" Cogburn (John Wayne), because he has ""grit"", and a reputation of getting the job done. The two are joined by a Texas Ranger, La Boeuf (Glen Campbell), who is looking for the same man (Jeff Corey) for a separate murder in Texas. Their odyssey takes them from Fort Smith, Arkansas, deep into the Indian Territory (present day Oklahoma) to find their man."
David Frankel,Meryl Streep,Anne Hathaway,Rebecca Mader,Comedy Drama Romance,the devil wears prada,merylstreep annehathaway rebeccamader davidfrankel Comedy Drama Romance,The Devil Wears Prada is about a young journalist who moves to New York to work in the fashion industry. Her boss however is extremely demanding and cruel and won’t let her succeed if she doesn’t fit into the high class elegant look of their magazine when all she really wants to be a good journalist.
Robert Wise,Leonard Nimoy,Nichelle Nichols,Walter Koenig,Adventure Mystery Sci-Fi,star trek: the motion picture,leonardnimoy nichellenichols walterkoenig robertwise Adventure Mystery Sci-Fi,"When a destructive space entity is spotted approaching Earth, Admiral Kirk resumes command of the Starship Enterprise in order to intercept, examine, and hopefully stop it."
Seth Gordon,Jon Favreau,Eric Stonestreet,T.I.,Comedy Crime,identity thief,jonfavreau ericstonestreet t.i. sethgordon Comedy Crime,"When a mild-mannered businessman learns his identity has been stolen, he hits the road in an attempt to foil the thief -- a trip that puts him in the path of a deceptively harmless-looking woman."
Martin Scorsese,Robert De Niro,Robert Mitchum,Joe Don Baker,Crime Thriller,cape fear,robertdeniro robertmitchum joedonbaker martinscorsese Crime Thriller,"Sam Bowden is a small-town corporate attorney. Max Cady is a tattooed, cigar-smoking, bible-quoting, psychotic rapist. What do they have in common? Fourteen years ago, Sam was a public defender assigned to Max Cady's rape trial, and he made a serious error: he hid a document from his illiterate client that could have gotten him acquitted. Now, the cagey, bibliophile Cady has been released, and he intends to teach Sam Bowden and his family a thing or two about loss."
Robert Luketic,Kevin Spacey,Jim Sturgess,Josh Gad,Crime Drama Thriller,21,kevinspacey jimsturgess joshgad robertluketic Crime Drama Thriller,"Ben Campbell is a young, highly intelligent, student at M.I.T. in Boston who strives to succeed. Wanting a scholarship to transfer to Harvard School of Medicine with the desire to become a doctor, Ben learns that he cannot afford the $300,000 for the four to five years of schooling as he comes from a poor, working-class background. But one evening, Ben is introduced by his unorthodox math professor Micky Rosa into a small but secretive club of five. Students Jill, Choi, Kianna, and Fisher, who are being trained by Professor Rosa of the skill of card counting at blackjack."
Judd Apatow,Amy Schumer,Randall Park,Josh Segarra,Comedy Romance,trainwreck,amyschumer randallpark joshsegarra juddapatow Comedy Romance,"Having thought that monogamy was never possible, a commitment-phobic career woman may have to face her fears when she meets a good guy."
Kevin Rodney Sullivan,Bernie Mac,Nicole Sullivan,Sherri Shepherd,Comedy Romance,guess who,berniemac nicolesullivan sherrishepherd kevinrodneysullivan Comedy Romance,"The fiancé of an African-American woman who's met with skepticism and suspicion from her father when she takes him home for the all-important introduction. As the wedding approaches, Dad must come to terms with his future son-in-law."
Anthony Minghella,Colin Firth,Kristin Scott Thomas,Jürgen Prochnow,Drama Romance War,the english patient,colinfirth kristinscottthomas jürgenprochnow anthonyminghella Drama Romance War,"Beginning in the 1930s, ""The English Patient"" tells the story of Count Almásy who is a Hungarian map maker employed by the Royal Geographical Society to chart the vast expanses of the Sahara Desert along with several other prominent explorers. As World War II unfolds, Almásy enters into a world of love, betrayal, and politics that is later revealed in a series of flashbacks while Almásy is on his death bed after being horribly burned in a plane crash."
Curtis Hanson,Kevin Spacey,Matt McCoy,Paul Guilfoyle,Crime Drama Mystery Thriller,l.a. confidential,kevinspacey mattmccoy paulguilfoyle curtishanson Crime Drama Mystery Thriller,Three detectives in the corrupt and brutal L.A. police force of the 1950s use differing methods to uncover a conspiracy behind the shotgun slayings of the patrons at an all-night diner.
Mike Mitchell,Michael Angarano,Kelly Preston,Nicholas Braun,Adventure Comedy Family Sci-Fi,sky high,michaelangarano kellypreston nicholasbraun mikemitchell Adventure Comedy Family Sci-Fi,"Set in a world where superheroes are commonly known and accepted, young Will Stronghold, the son of the Commander and Jetstream, tries to find a balance between being a normal teenager and an extraordinary being."
Frank Oz,Tom Selleck,Wilford Brimley,Lauren Ambrose,Comedy,in & out,tomselleck wilfordbrimley laurenambrose frankoz Comedy,A midwestern teacher questions his sexuality after a former student makes a comment about him at the Academy Awards.
Roger Donaldson,Natasha Henstridge,Marg Helgenberger,Jordan Lund,Action Horror Sci-Fi Thriller,species,natashahenstridge marghelgenberger jordanlund rogerdonaldson Action Horror Sci-Fi Thriller,"In 1993, the Search for Extra Terrestrial Intelligence Project receives a transmission detailing an alien DNA structure, along with instructions on how to splice it with human DNA. The result is Sil, a sensual but deadly creature who can change from a beautiful woman to an armour-plated killing machine in the blink of an eye."
Tarsem Singh,Dylan Baker,Jake Weber,James Gammon,Horror Sci-Fi Thriller,the cell,dylanbaker jakeweber jamesgammon tarsemsingh Horror Sci-Fi Thriller,A psychotherapist journeys inside a comatose serial killer in the hopes of saving his latest victim.
Randall Wallace,Leonardo DiCaprio,Anne Parillaud,Judith Godrèche,Action Adventure,the man in the iron mask,leonardodicaprio anneparillaud judithgodrèche randallwallace Action Adventure,"Years have passed since the Three Musketeers, Aramis, Athos and Porthos, have fought together with their friend, D'Artagnan. But with the tyrannical King Louis using his power to wreak havoc in the kingdom while his twin brother, Philippe, remains imprisoned, the Musketeers reunite to abduct Louis and replace him with Philippe."
Randall Wallace,Scott Glenn,Kevin Connolly,Dylan Walsh,Biography Drama Family History Sport,secretariat,scottglenn kevinconnolly dylanwalsh randallwallace Biography Drama Family History Sport,"Housewife and mother Penny Chenery agrees to take over her ailing father's Virginia-based Meadow Stables, despite her lack of horse-racing knowledge. Against all odds, Chenery - with the help of veteran trainer Lucien Laurin - manages to navigate the male-dominated business, ultimately fostering the first Triple Crown winner in 25 years."
Kevin Munroe,Chris Evans,Sarah Michelle Gellar,Mako,Action Adventure Animation Comedy Family Fantasy Sci-Fi,tmnt,chrisevans sarahmichellegellar mako kevinmunroe Action Adventure Animation Comedy Family Fantasy Sci-Fi,"After the defeat of their old arch nemesis, The Shredder, the Turtles have grown apart as a family. Struggling to keep them together, their rat sensei, Splinter, becomes worried when strange things begin to brew in New York City."
Michael Tollin,Alfre Woodard,Riley Smith,Debra Winger,Biography Drama Sport,radio,alfrewoodard rileysmith debrawinger michaeltollin Biography Drama Sport,"High school football coach, Harold Jones befriends Radio, a mentally-challenged man who becomes a student at T.L. Hanna High School in Anderson, South Carolina. Their friendship extends over several decades, where Radio transforms from a shy, tormented man into an inspiration to his community."
Will Gluck,Mila Kunis,Justin Timberlake,Masi Oka,Comedy Romance,friends with benefits,milakunis justintimberlake masioka willgluck Comedy Romance,"Jamie is a New York-based executive recruiter who entices Dylan, an art director from Los Angeles, to take a job at the New York office of GQ magazine. Finding that they have much in common, the two become fast friends. Feeling jaded by a number of broken romances, Dylan and Jamie decide that they are ready to quit looking for true love and focus on having fun. However, complications unfold when the two best pals add sex to their relationship."
Nicholas Stoller,Chloë Grace Moretz,Ike Barinholtz,Kiersey Clemons,Comedy,neighbors 2: sorority rising,chloëgracemoretz ikebarinholtz kierseyclemons nicholasstoller Comedy,A sorority moves in next door to the home of Mac and Kelly Radner who have a young child. The Radner's enlist their former nemeses from the fraternity to help battle the raucous sisters.
John Lee Hancock,Tom Hanks,Ruth Wilson,B.J. Novak,Biography Comedy Drama History Music,saving mr. banks,tomhanks ruthwilson b.j.novak johnleehancock Biography Comedy Drama History Music,Author P.L. Travers travels from London to Hollywood as Walt Disney Pictures adapts her novel Mary Poppins for the big screen.
Spike Lee,Denzel Washington,Delroy Lindo,Al Freeman Jr.,Biography Drama History Romance,malcolm x,denzelwashington delroylindo alfreemanjr. spikelee Biography Drama History Romance,The biopic of the controversial and influential Black Nationalist leader.
Judd Apatow,Charlyne Yi,Maude Apatow,Mackenzie Aladjem,Comedy,this is 40,charlyneyi maudeapatow mackenziealadjem juddapatow Comedy,"Pete and Debbie are both about to turn 40, their kids hate each other, both of their businesses are failing, they're on the verge of losing their house, and their relationship is threatening to fall apart."
Walt Becker,Robin Williams,Bernie Mac,Ann-Margret,Comedy Family,old dogs,robinwilliams berniemac ann-margret waltbecker Comedy Family,"Charlie and Dan have been best friends and business partners for thirty years; their Manhattan public relations firm is on the verge of a huge business deal with a Japanese company. With two weeks to sew up the contract, Dan gets a surprise: a woman he married on a drunken impulse nearly nine years before (annulled the next day) shows up to tell him he's the father of her twins, now seven, and she'll be in jail for 14 days for a political protest. Dan volunteers to keep the tykes, although he's up tight and clueless. With Charlie's help is there any way they can be dad and uncle, meet the kids' expectations, and still land the account?"
Patrick Tatopoulos,Craig Parker,Kevin Grevioux,Steven Mackintosh,Action Adventure Fantasy Sci-Fi Thriller,underworld: rise of the lycans,craigparker kevingrevioux stevenmackintosh patricktatopoulos Action Adventure Fantasy Sci-Fi Thriller,"A prequel to the first two Underworld films, this fantasy explains the origins of the feud between the Vampires and the Lycans. Aided by his secret love, Sonja, courageous Lucian leads the Lycans in battle against brutal Vampire king Viktor. Determined to break the king's enslavement of his people, Lucian faces off against the Death Dealer army in a bid for Lycan independence."
Ken Kwapis,Robin Williams,Christine Taylor,Mindy Kaling,Comedy Romance,license to wed,robinwilliams christinetaylor mindykaling kenkwapis Comedy Romance,"Newly engaged, Ben and Sadie can't wait to start their life together and live happily ever after. However Sadie's family church's Reverend Frank won't bless their union until they pass his patented, ""foolproof"" marriage prep course consisting of outrageous classes, outlandish homework assignments and some outright invasion of privacy."
Dennis Dugan,Jon Lovitz,Jon Heder,Tim Meadows,Comedy Romance Sport,the benchwarmers,jonlovitz jonheder timmeadows dennisdugan Comedy Romance Sport,A trio of guys try and make up for missed opportunities in childhood by forming a three-player baseball team to compete against standard little league squads.
Gary David Goldberg,Stockard Channing,Victor Webster,Elizabeth Perkins,Comedy Romance,must love dogs,stockardchanning victorwebster elizabethperkins garydavidgoldberg Comedy Romance,"Sarah Nolan is a newly divorced woman cautiously rediscovering romance with the enthusiastic but often misguided help of her well-meaning family. As she braves a series of hilarious disastrous mismatches and first dates, Sarah begins to trust her own instincts again and learns that, no matter what, it's never a good idea to give up on love."
Mike Newell,Johnny Depp,Al Pacino,Anne Heche,Biography Crime Drama,donnie brasco,johnnydepp alpacino anneheche mikenewell Biography Crime Drama,An FBI undercover agent infilitrates the mob and finds himself identifying more with the mafia life at the expense of his regular one.
Paul W.S. Anderson,Milla Jovovich,Jaymes Butler,Colin Salmon,Action Horror Sci-Fi,resident evil,millajovovich jaymesbutler colinsalmon paulw.s.anderson Action Horror Sci-Fi,"When a virus leaks from a top-secret facility, turning all resident researchers into ravenous zombies and their lab animals into mutated hounds from hell, the government sends in an elite military task force to contain the outbreak. Alice and Rain are charged with leading the mission. But they only have three hours before the pathogen becomes airborne and infects the world."
Ethan Coen,J.K. Simmons,Tom Hanks,Stephen Root,Comedy Crime Thriller,the ladykillers,j.k.simmons tomhanks stephenroot ethancoen Comedy Crime Thriller,"A gang of five diverse oddball criminal types rent a two room apartment in an isolated house on a London cul-de-sac from an octogenarian widow with three pet parrots. The group's mastermind, Professor Marcus, tells her a cover story that they are members of an amateur string quintet and would like to use the rooms to hone their musical skills. In reality, they're plotting to rob a bank and plan to use Mrs. Wilberforce's naiveté and her Victorian sensibilities to their advantage."
John Moore,Mila Kunis,Beau Bridges,Jamie Hector,Action Crime Drama Mystery Thriller,max payne,milakunis beaubridges jamiehector johnmoore Action Crime Drama Mystery Thriller,"Coming together to solve a series of murders in New York City are a DEA agent whose family was slain as part of a conspiracy and an assassin out to avenge her sister's death. The duo will be hunted by the police, the mob, and a ruthless corporation."
Andrew Niccol,Matt Bomer,Olivia Wilde,Justin Timberlake,Action Sci-Fi Thriller,in time,mattbomer oliviawilde justintimberlake andrewniccol Action Sci-Fi Thriller,"In the not-too-distant future the aging gene has been switched off. To avoid overpopulation, time has become the currency and the way people pay for luxuries and necessities. The rich can live forever, while the rest try to negotiate for their immortality. A poor young man who comes into a fortune of time, though too late to help his mother from dying. He ends up on the run from a corrupt police force known as 'time keepers'."
Alan Poul,Danneel Ackles,Noureen DeWulf,Tom Bosley,Comedy Romance,the back-up plan,danneelackles noureendewulf tombosley alanpoul Comedy Romance,"When Zoe tires of looking for Mr. Right, she decides to have a baby on her own. But on the day she's artificially inseminated, she meets Stan, who seems to be just who she's been searching for all her life. Now, Zoe has to figure out how to make her two life's dreams fit with each other."
Luke Greenfield,Ashley Williams,Steve Howey,Kirsten Day,Comedy Drama Romance,something borrowed,ashleywilliams stevehowey kirstenday lukegreenfield Comedy Drama Romance,"Though Rachel (Ginnifer Goodwin) is a successful attorney and a loyal, generous friend, she is still single. After one drink too many at her 30th-birthday celebration, Rachel unexpectedly falls into bed with her longtime crush, Dex -- who happens to be engaged to her best friend, Darcy (Kate Hudson). Ramifications of the liaison threaten to destroy the women's lifelong friendship, while Ethan (John Krasinski), Rachel's confidant, harbors a potentially explosive secret of his own."
Gil Junger,Tom Wilkinson,Marsha Thomason,Vincent Regan,Adventure Comedy Fantasy,black knight,tomwilkinson marshathomason vincentregan giljunger Adventure Comedy Fantasy,"Martin Lawrence plays Jamal, an employee in Medieval World amusement park. After sustaining a blow to the head, he awakens to find himself in 14th century England."
Michael Ritchie,Tatum O'Neal,Vic Morrow,Joyce Van Patten,Comedy Drama Family Sport,the bad news bears,tatumo'neal vicmorrow joycevanpatten michaelritchie Comedy Drama Family Sport,"An aging, down-on-his-luck ex-minor leaguer coaches a team of misfits in an ultra-competitive California little league."
Steven E. de Souza,Ming-Na Wen,Raul Julia,Kylie Minogue,Action Adventure Comedy Thriller,street fighter,ming-nawen rauljulia kylieminogue stevene.desouza Action Adventure Comedy Thriller,Col. Guile and various other martial arts heroes fight against the tyranny of Dictator M. Bison and his cohorts.
Roman Polanski,Emilia Fox,Frank Finlay,Ed Stoppard,Biography Drama War,the pianist,emiliafox frankfinlay edstoppard romanpolanski Biography Drama War,The Pianist is a film adapted from the biography of Wladyslaw Szpilman. A Jewish-Polish pianist who during the second world war lived and hid miraculously in Warsaw after having gone through a terrible tragedy. A film from Roman Polanski.
Albert Hughes,Johnny Depp,Jason Flemyng,Ian Richardson,Horror Mystery Thriller,from hell,johnnydepp jasonflemyng ianrichardson alberthughes Horror Mystery Thriller,Frederick Abberline is an opium-huffing inspector from Scotland Yard who falls for one of Jack the Ripper's prostitute targets in this Hughes brothers adaption of a graphic novel that posits the Ripper's true identity.
Catherine Hardwicke,Keisha Castle-Hughes,Hiam Abbass,Shaun Toub,Drama Family Fantasy,the nativity story,keishacastle-hughes hiamabbass shauntoub catherinehardwicke Drama Family Fantasy,"Mary and Joseph make the hard journey to Bethlehem for a blessed event in this retelling of the Nativity story. This meticulously researched and visually lush adaptation of the biblical tale follows the pair on their arduous path to their arrival in a small village, where they find shelter in a quiet manger and Jesus is born."
Mike Nichols,Natalie Portman,Julia Roberts,Colin Stinton,Drama Romance,closer,natalieportman juliaroberts colinstinton mikenichols Drama Romance,"A witty, romantic, and very dangerous love story about chance meetings, instant attractions, and casual betrayals. Two couples disintegrate when they begin destructive adulterous affairs with each other."
Clint Eastwood,Leonardo DiCaprio,Naomi Watts,Kaitlyn Dever,Biography Crime Drama,j. edgar,leonardodicaprio naomiwatts kaitlyndever clinteastwood Biography Crime Drama,"As the face of law enforcement in America for almost 50 years, J. Edgar Hoover was feared and admired, reviled and revered. But behind closed doors, he held secrets that would have destroyed his image, his career and his life."
Alexandre Aja,Jason Flemyng,Cameron Boyce,Julian Glover,Horror Mystery,mirrors,jasonflemyng cameronboyce julianglover alexandreaja Horror Mystery,An ex-cop and his family are the target of an evil force that is using mirrors as a gateway into their home.
Michael Rymer,Aaliyah,Lena Olin,Bruce Spence,Drama Fantasy Horror,queen of the damned,aaliyah lenaolin brucespence michaelrymer Drama Fantasy Horror,"Lestat de Lioncourt is awakened from his slumber. Bored with his existence he has now become this generations new Rock God. While in the course of time, another has arisen, Akasha, the Queen of the Vampires and the Dammed. He want's immortal fame, his fellow vampires want him eternally dead for his betrayal, and the Queen want's him for her King. Who will be the first to reach him? Who shall win?"
Stephen Hopkins,Adam Baldwin,Robert Davi,Kevin Peter Hall,Action Horror Sci-Fi,predator 2,adambaldwin robertdavi kevinpeterhall stephenhopkins Action Horror Sci-Fi,"Ten years after a band of mercenaries first battled a vicious alien, the invisible creature from another world has returned to Earth -- and this time, it's drawn to the gang-ruled and ravaged city of Los Angeles. When it starts murdering drug dealers, detective-lieutenant Mike Harrigan and his police force set out to capture the creature, ignoring warnings from a mysterious government agent to stay away."
Gregory Hoblit,Billy Burke,Jesse Tyler Ferguson,Joseph Cross,Crime Drama Thriller,untraceable,billyburke jessetylerferguson josephcross gregoryhoblit Crime Drama Thriller,"Special Agent Jennifer Marsh (Diane Lane) works in an elite division of the FBI dedicated to fighting cybercrime. She thinks she has seen it all, until a particularly sadistic criminal arises on the Internet. This tech-savvy killer posts live feeds of his crimes on his website; the more hits the site gets, the faster the victim dies. Marsh and her team must find the elusive killer before time runs out."
Hugh Wilson,Brendan Fraser,Sissy Spacek,Douglas Smith,Comedy Drama Romance Sci-Fi,blast from the past,brendanfraser sissyspacek douglassmith hughwilson Comedy Drama Romance Sci-Fi,"Following a bomb scare in the 1960s that locked the Webers into their bomb shelter for 35 years, Adam now ventures forth into Los Angeles to obtain food and supplies for his family, and a non-mutant wife for himself."
Mike Hodges,Brian Blessed,William Hootkins,Sam J. Jones,Action Adventure Sci-Fi,flash gordon,brianblessed williamhootkins samj.jones mikehodges Action Adventure Sci-Fi,"A football player and his friends travel to the planet Mongo and find themselves fighting the tyrant, Ming the Merciless, to save Earth."
Kevin Smith,Stephen Root,Mike Starr,George Carlin,Comedy Drama Romance,jersey girl,stephenroot mikestarr georgecarlin kevinsmith Comedy Drama Romance,"Ollie Trinke is a young, suave music publicist who seems to have it all, with a new wife and a baby on the way. But life deals him a bum hand when he's suddenly faced with single fatherhood, a defunct career and having to move in with his father. To bounce back, it takes a new love and the courage instilled in him by his daughter."
Rob Cohen,Cicely Tyson,Chad Lindberg,Carmen Ejogo,Action Crime Mystery Thriller,alex cross,cicelytyson chadlindberg carmenejogo robcohen Action Crime Mystery Thriller,"After Washington DC detective Alex Cross is told that a family member has been murdered, he vows to track down the killer. He soon discovers that she was not his first victim and that things are not what they seem."
Clint Eastwood,Kevin Spacey,Bob Gunton,Leon Rippy,Crime Drama Mystery Thriller,midnight in the garden of good and evil,kevinspacey bobgunton leonrippy clinteastwood Crime Drama Mystery Thriller,"A visiting city reporter's assignment suddenly revolves around the murder trial of a local millionaire, whom he befriends."
Danny DeVito,Frank Whaley,J.T. Walsh,Paul Guilfoyle,Biography Crime Drama,hoffa,frankwhaley j.t.walsh paulguilfoyle dannydevito Biography Crime Drama,"Jack Nicholson's portrait of union leader James R. Hoffa, as seen through the eyes of his friend, Bobby Ciaro (Danny DeVito). The film follows Hoffa through his countless battles with the RTA and President Roosevelt all the way to a conclusion that negates the theory that he disappeared in 1975."
Chris Carter,Mitch Pileggi,Callum Rennie,Nicki Aycox,Drama Mystery Sci-Fi Thriller,the x files: i want to believe,mitchpileggi callumrennie nickiaycox chriscarter Drama Mystery Sci-Fi Thriller,"Six years after the events of The X-Files series finale, former FBI agent Doctor Dana Scully is now a staff physician at Our Lady of Sorrows, a Catholic hospital, and treating a boy named Christian who has Sandhoff disease, a terminal brain condition. FBI agent Drummy arrives to ask Scully’s help in locating Fox Mulder, the fugitive former head of the X-Files division, and says they will call off its manhunt for him if he will help investigate the disappearances of several women, including young FBI agent Monica Banan.  Mulder and Scully are called back to duty by the FBI when a former priest claims to be receiving psychic visions pertaining to a kidnapped agent."
