director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb,overview
Rob Reiner,Shawna Waldron,Samantha Mathis,Wendie Malick,Comedy Drama Romance,the american president,Shawna Waldron Samantha Mathis Wendie Malick Rob Reiner Comedy Drama Romance,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings."
Marco Schnabel,Justin Timberlake,Romany Malco,Verne Troyer,Comedy Romance Sport,the love guru,Justin Timberlake Romany Malco Verne Troyer Marco Schnabel Comedy Romance Sport,"Born in America and raised in an Indian ashram, Pitka returns to his native land to seek his fortune as a spiritualist and self-help expert. His skills are put to the test when he must get a brokenhearted hockey player's marriage back on track in time for the man to help his team win the Stanley Cup."
Demian Lichtenstein,Jon Lovitz,Bokeem Woodbine,Ice-T,Action Comedy Crime Thriller,3000 miles to graceland,Jon Lovitz Bokeem Woodbine Ice-T Demian Lichtenstein Action Comedy Crime Thriller,"It was an ingenious enough plan: rob the Riviera Casino's count room during an Elvis impersonator convention. But Thomas Murphy decided to keep all the money for himself and shot all his partners, including recently-freed ex-con Michael Zane. With $3.2 million at stake, the Marshals Service closing in, Michael must track down Murphy."
Quentin Tarantino,Craig Stark,Jennifer Jason Leigh,Zoë Bell,Crime Drama Mystery Thriller Western,the hateful eight,Craig Stark Jennifer Jason Leigh Zoë Bell Quentin Tarantino Crime Drama Mystery Thriller Western,Bounty hunters seek shelter from a raging blizzard and get caught up in a plot of betrayal and deception.
Josh Gordon,Will Ferrell,Amy Poehler,Jon Heder,Comedy Sport,blades of glory,Will Ferrell Amy Poehler Jon Heder Josh Gordon Comedy Sport,"When a much-publicized ice-skating scandal strips them of their gold medals, two world-class athletes skirt their way back onto the ice via a loophole that allows them to compete together as a pairs team."
Tim Hill,Gary Cole,Elizabeth Perkins,Chelsea Handler,Adventure Animation Comedy Family Fantasy,hop,Gary Cole Elizabeth Perkins Chelsea Handler Tim Hill Adventure Animation Comedy Family Fantasy,"E.B., the Easter Bunny's teenage son, heads to Hollywood, determined to become a drummer in a rock 'n' roll band. In LA, he's taken in by Fred after the out-of-work slacker hits E.B. with his car."
Zack Snyder,Gerard Butler,Michael Fassbender,Vincent Regan,Action Drama Fantasy War,300,Gerard Butler Michael Fassbender Vincent Regan Zack Snyder Action Drama Fantasy War,"Based on Frank Miller's graphic novel, ""300"" is very loosely based the 480 B.C. Battle of Thermopylae, where the King of Sparta led his army against the advancing Persians; the battle is said to have inspired all of Greece to band together against the Persians, and helped usher in the world's first democracy."
Jay Roach,Robert De Niro,Blythe Danner,Teri Polo,Comedy Romance,meet the fockers,Robert De Niro Blythe Danner Teri Polo Jay Roach Comedy Romance,"Hard-to-crack ex-CIA man, Jack Byrnes and his wife, Dina head for the warmer climes of Florida to meet son-in-law-to-be, Greg Focker's parents. Unlike their happily matched offspring, the future in-laws find themselves in a situation of opposites that definitely do not attract."
David Frankel,Eric Dane,Kathleen Turner,Haley Bennett,Comedy Drama Family,marley & me,Eric Dane Kathleen Turner Haley Bennett David Frankel Comedy Drama Family,"A newly married couple who, in the process of starting a family, learn many of life's important lessons from their trouble-loving retriever, Marley. Packed with plenty of laughs to lighten the load, the film explores the highs and lows of marriage, maturity and confronting one's own mortality, as seen through the lens of family life with a dog."
Frank Darabont,Tom Hanks,Jeffrey DeMunn,Michael Jeter,Crime Drama Fantasy Mystery,the green mile,Tom Hanks Jeffrey DeMunn Michael Jeter Frank Darabont Crime Drama Fantasy Mystery,"A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cellblock's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution."
Walt Becker,Jill Hennessy,Tichina Arnold,Drew Sidora,Action Adventure Comedy,wild hogs,Jill Hennessy Tichina Arnold Drew Sidora Walt Becker Action Adventure Comedy,"Restless and ready for adventure, four suburban bikers leave the safety of their subdivision and head out on the open road. But complications ensue when they cross paths with an intimidating band of New Mexico bikers known as the Del Fuegos."
Mark Dindal,Catherine O'Hara,Fred Willard,Amy Sedaris,Adventure Animation Comedy Family Sci-Fi,chicken little,Catherine O'Hara Fred Willard Amy Sedaris Mark Dindal Adventure Animation Comedy Family Sci-Fi,"When the sky really is falling and sanity has flown the coop, who will rise to save the day? Together with his hysterical band of misfit friends, Chicken Little must hatch a plan to save the planet from alien invasion and prove that the world's biggest hero is a little chicken."
David Fincher,Patrick Fugit,Sela Ward,Emily Ratajkowski,Crime Drama Mystery Thriller,gone girl,Patrick Fugit Sela Ward Emily Ratajkowski David Fincher Crime Drama Mystery Thriller,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent."
Doug Liman,Matt Damon,Josh Hamilton,Nicky Naudé,Action Mystery Thriller,the bourne identity,Matt Damon Josh Hamilton Nicky Naudé Doug Liman Action Mystery Thriller,"Wounded to the brink of death and suffering from amnesia, Jason Bourne is rescued at sea by a fisherman. With nothing to go on but a Swiss bank account number, he starts to reconstruct his life, but finds that many people he encounters want him dead. However, Bourne realizes that he has the combat and mental skills of a world-class spy – but who does he work for?"
Doug Liman,Matt Damon,Josh Hamilton,Nicky Naudé,Action Mystery Thriller,the bourne identity,Matt Damon Josh Hamilton Nicky Naudé Doug Liman Action Mystery Thriller,"An unconscious man is washed ashore on the beach of a small French village during a heavy storm. A retired doctor takes care of the unconscious stranger. When the mysterious man recovers, he can't remember a thing...he does not know his name, he does not know where his flashback memories come from, and he does not know why the access code for an anonymous Swiss bank account is implanted in his thigh. As he seeks his own identity, things quickly become dangerous. There are attempts to kill him, he is well known in first class hotels across Europe, and worst of all, there are strange similarities between his memories and reported actions of the notorious terrorist, Carlos the Jackal."
Martin Campbell,Izabella Scorupco,Joe Don Baker,Tchéky Karyo,Action Adventure Thriller,goldeneye,Izabella Scorupco Joe Don Baker Tchéky Karyo Martin Campbell Action Adventure Thriller,James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.
Simon West,Daniel von Bargen,Timothy Hutton,Clarence Williams III,Drama Mystery Thriller,the general's daughter,Daniel von Bargen Timothy Hutton Clarence Williams III Simon West Drama Mystery Thriller,"When the body of Army Capt. Elizabeth Campbell is found on a Georgia military base, two investigators, Warrant Officers Paul Brenner and Sara Sunhill, are ordered to solve her murder. What they uncover is anything but clear-cut. Unseemly details emerge about Campbell's life, leading to allegations of a possible military coverup of her death and the involvement of her father, Lt. Gen. Joseph Campbell."
Peter Weir,Natascha McElhone,Noah Emmerich,Peter Krause,Comedy Drama Sci-Fi,the truman show,Natascha McElhone Noah Emmerich Peter Krause Peter Weir Comedy Drama Sci-Fi,"Truman Burbank is the star of ""The Truman Show"", a 24-hour-a-day ""reality"" TV show that broadcasts every aspect of his life -- live and in color -- without his knowledge. His entire life has been an unending soap opera for consumption by the rest of the world. And everyone he knows -- including his wife and his best friend -- is really an actor, paid to be part of his life."
Brenda Chapman,Martin Short,Aria Noelle Curzon,Eden Riegel,Adventure Animation Biography Drama Family Fantasy Musical,the prince of egypt,Martin Short Aria Noelle Curzon Eden Riegel Brenda Chapman Adventure Animation Biography Drama Family Fantasy Musical,"This is the extraordinary tale of two brothers named Moses and Ramses, one born of royal blood, and one an orphan with a secret past. Growing up the best of friends, they share a strong bond of free-spirited youth and good-natured rivalry. But the truth will ultimately set them at odds, as one becomes the ruler of the most powerful empire on earth, and the other the chosen leader of his people! Their final confrontation will forever change their lives and the world."
Steve Carr,Anjelica Huston,Lisa Edelstein,Jeff Garlin,Comedy Family,daddy day care,Anjelica Huston Lisa Edelstein Jeff Garlin Steve Carr Comedy Family,"Two men get laid off and have to become stay-at-home dads when they can't find jobs, which inspires them to open their own day-care center."
Baltasar Kormákur,Denzel Washington,Patrick Fischler,Fred Ward,Action Comedy Crime Drama Thriller,2 guns,Denzel Washington Patrick Fischler Fred Ward Baltasar Kormákur Action Comedy Crime Drama Thriller,A DEA agent and an undercover Naval Intelligence officer who have been tasked with investigating one another find they have been set up by the mob -- the very organization the two men believe they have been stealing money from.
Lawrence Guterman,Carol Ann Susi,Elizabeth Perkins,Miriam Margolyes,Action Comedy Family Fantasy,cats & dogs,Carol Ann Susi Elizabeth Perkins Miriam Margolyes Lawrence Guterman Action Comedy Family Fantasy,"When a professor develops a vaccine that eliminates human allergies to dogs, he unwittingly upsets the fragile balance of power between cats and dogs and touches off an epic battle for pet supremacy. The fur flies as the feline faction, led by Mr. Tinkles, squares off against wide-eyed puppy Lou and his canine cohorts."
F. Gary Gray,Jason Statham,Charlize Theron,Jimmy Shubert,Action Crime Thriller,the italian job,Jason Statham Charlize Theron Jimmy Shubert F. Gary Gray Action Crime Thriller,"Charlie Croker pulled off the crime of a lifetime. The one thing that he didn't plan on was being double-crossed. Along with a drop-dead gorgeous safecracker, Croker and his team take off to re-steal the loot and end up in a pulse-pounding, pedal-to-the-metal chase that careens up, down, above and below the streets of Los Angeles."
F. Gary Gray,Jason Statham,Charlize Theron,Jimmy Shubert,Action Crime Thriller,the italian job,Jason Statham Charlize Theron Jimmy Shubert F. Gary Gray Action Crime Thriller,"Charlie's got a 'job' to do. Having just left prison he finds one his of friends has attempted a high risk job in Torino, Italy, right under the nose of the mafia. Charlie's friend doesn't get very far, so Charlie takes over the 'job'. Using three Mini Coopers, a couple of Jaguars and a bus, he hopes to bring Torino to a standstill, steal a fortune in gold and escape in the chaos."
Marc Lawrence,Dorian Missick,Alicia Witt,Dana Ivey,Comedy Romance,two weeks notice,Dorian Missick Alicia Witt Dana Ivey Marc Lawrence Comedy Romance,"Dedicated environmental lawyer Lucy Kelson goes to work for billionaire George Wade as part of a deal to preserve a community center. Indecisive and weak-willed George grows dependent on Lucy's guidance on everything from legal matters to clothing. Exasperated, Lucy gives notice and picks Harvard graduate June Carter as her replacement. As Lucy's time at the firm nears an end, she grows jealous of June and has second thoughts about leaving George."
Eric Darnell,Sylvester Stallone,Woody Allen,Anne Bancroft,Adventure Animation Comedy Family,antz,Sylvester Stallone Woody Allen Anne Bancroft Eric Darnell Adventure Animation Comedy Family,"In this animated hit, a neurotic worker ant in love with a rebellious princess rises to unlikely stardom when he switches places with a soldier. Signing up to march in a parade, he ends up under the command of a bloodthirsty general. But he's actually been enlisted to fight against a termite army."
Peter Billingsley,Jon Favreau,Kristin Davis,Tasha Smith,Comedy,couples retreat,Jon Favreau Kristin Davis Tasha Smith Peter Billingsley Comedy,"Four couples, all friends, descend on a tropical island resort. Though one husband and wife are there to work on their marriage, the others just want to enjoy some fun in the sun. They soon find, however, that paradise comes at a price: Participation in couples therapy sessions is mandatory. What started out as a cut-rate vacation turns into an examination of the common problems many face."
Tony Scott,Tom Cruise,Robert Duvall,Randy Quaid,Action Drama Sport,days of thunder,Tom Cruise Robert Duvall Randy Quaid Tony Scott Action Drama Sport,"Talented but unproven stock car driver Cole Trickle gets a break and with the guidance of veteran Harry Hogge turns heads on the track. The young hotshot develops a rivalry with a fellow racer that threatens his career when the two smash their cars. But with the help of his doctor, Cole just might overcome his injuries-- and his fear."
Adam Shankman,Taylor Lautner,Tom Welling,Alyson Stoner,Adventure Comedy Family,cheaper by the dozen 2,Taylor Lautner Tom Welling Alyson Stoner Adam Shankman Adventure Comedy Family,"Steve Martin and Bonnie Hunt return as heads of the Baker family who, while on vacation, find themselves in competition with a rival family of eight children, headed by Eugene Levy,"
Ryan Murphy,James Franco,Julia Roberts,Billy Crudup,Drama Romance,eat pray love,James Franco Julia Roberts Billy Crudup Ryan Murphy Drama Romance,"Liz Gilbert had everything a modern woman is supposed to dream of having – a husband, a house and a successful career – yet like so many others, she found herself lost, confused and searching for what she really wanted in life. Newly divorced and at a crossroads, Gilbert steps out of her comfort zone, risking everything to change her life, embarking on a journey around the world that becomes a quest for self-discovery. In her travels, she discovers the true pleasure of nourishment by eating in Italy, the power of prayer in India and, finally and unexpectedly, the inner peace and balance of true love in Bali."
Brett Ratner,Nicolas Cage,Don Cheadle,Amber Valletta,Comedy Drama Fantasy Romance,the family man,Nicolas Cage Don Cheadle Amber Valletta Brett Ratner Comedy Drama Fantasy Romance,"Jack's lavish, fast-paced lifestyle changes one Christmas night when he stumbles into a grocery store holdup and disarms the gunman. The next morning he wakes up in bed lying next to Kate, his college sweetheart he left in order to pursue his career, and to the horrifying discovery that his former life no longer exists. As he stumbles through this alternate suburban universe, Jack finds himself at a crossroad where he must choose between his high-power career and the woman he loves."
Robert Schwentke,Bruce Willis,Morgan Freeman,Jaqueline Fleming,Action Comedy Crime Thriller,red,Bruce Willis Morgan Freeman Jaqueline Fleming Robert Schwentke Action Comedy Crime Thriller,"An older, reclusive man's best friend and inspiration for living is his 14-year-old dog named ""Red"". When three troublesome teens kill the dog for no good reason, the grieving man sets out for justice and redemption by whatever means available to him."
Robert Schwentke,Bruce Willis,Morgan Freeman,Jaqueline Fleming,Action Comedy Crime Thriller,red,Bruce Willis Morgan Freeman Jaqueline Fleming Robert Schwentke Action Comedy Crime Thriller,"When his peaceful life is threatened by a high-tech assassin, former black-ops agent, Frank Moses reassembles his old team in a last ditch effort to survive and uncover his assailants."
Oliver Stone,Al Pacino,Dennis Quaid,LL Cool J,Drama Sport,any given sunday,Al Pacino Dennis Quaid LL Cool J Oliver Stone Drama Sport,A star quarterback gets knocked out of the game and an unknown third stringer is called in to replace him. The unknown gives a stunning performance and forces the aging coach to reevaluate his game plans and life. A new co-owner/president adds to the pressure of winning. The new owner must prove her self in a male dominated world.
Robert Redford,Scarlett Johansson,Kristin Scott Thomas,Jessalyn Gilsig,Drama Romance Western,the horse whisperer,Scarlett Johansson Kristin Scott Thomas Jessalyn Gilsig Robert Redford Drama Romance Western,"Based on the novel by the same name from Nicholas Evans, the talented Robert Redford presents this meditative family drama set in the country side. Redford not only directs but also stars in the roll of a cowboy with a magical talent for healing."
Michael Mann,Tom Cruise,Jada Pinkett Smith,Debi Mazar,Crime Drama Thriller,collateral,Tom Cruise Jada Pinkett Smith Debi Mazar Michael Mann Crime Drama Thriller,Cab driver Max picks up a man who offers him $600 to drive him around. But the promise of easy money sours when Max realizes his fare is an assassin.
Chuck Russell,Dwayne Johnson,Roger Rees,Bernard Hill,Action Adventure Fantasy Thriller,the scorpion king,Dwayne Johnson Roger Rees Bernard Hill Chuck Russell Action Adventure Fantasy Thriller,"In ancient Egypt, peasant Mathayus is hired to exact revenge on the powerful Memnon and the sorceress Cassandra, who are ready to overtake Balthazar's village. Amid betrayals, thieves, abductions and more, Mathayus strives to bring justice to his complicated world."
Jay Russell,Billy Burke,Jay Hernandez,Jacinda Barrett,Action Drama Thriller,ladder 49,Billy Burke Jay Hernandez Jacinda Barrett Jay Russell Action Drama Thriller,"Under the watchful eye of his mentor, Captain Mike Kennedy, probationary firefighter Jack Morrison matures into a seasoned veteran at a Baltimore fire station. However, Jack has reached a crossroads  as the sacrifices he's made have put him in harm's way innumerable times and significantly impacted his relationship with his wife and kids."
Renny Harlin,LL Cool J,Michael Rapaport,Saffron Burrows,Action Sci-Fi Thriller,deep blue sea,LL Cool J Michael Rapaport Saffron Burrows Renny Harlin Action Sci-Fi Thriller,"On a remote former submarine refueling facility called Aquatica, a team of scientists are searching for a cure for Alzheimer's disease. Dr. Susan McAlester genetically engineers three Mako sharks, intending to increase their brain capacity so that they can harvest the tissue as a cure for Alzheimer's. Unfortunately, the increased brain capacity also makes the sharks smarter, faster, and more dangerous. Aquatica's financial backers are skeptical and nervous about the tests, and send a corporate executive to visit the facility."
Kenny Ortega,Misha Gabriel Hamilton,Mekia Cox,Judith Hill,Documentary Music,this is it,Misha Gabriel Hamilton Mekia Cox Judith Hill Kenny Ortega Documentary Music,"A compilation of interviews, rehearsals and backstage footage of Michael Jackson as he prepared for his series of sold-out shows in London."
Steven Soderbergh,Matt Damon,Monique Gabriela Curnen,Griffin Kane,Drama Thriller,contagion,Matt Damon Monique Gabriela Curnen Griffin Kane Steven Soderbergh Drama Thriller,"As an epidemic of a lethal airborne virus - that kills within days - rapidly grows, the worldwide medical community races to find a cure and control the panic that spreads faster than the virus itself."
David McNally,Estella Warren,Dyan Cannon,Bill Hunter,Action Adventure Comedy Crime,kangaroo jack,Estella Warren Dyan Cannon Bill Hunter David McNally Action Adventure Comedy Crime,"Two childhood friends, a New York hairstylist and a wanna-be musician, get mixed-up with the mob and are forced to deliver $50,000 to Australia, but things go all wrong when the money is lost to a wild kangaroo."
Henry Selick,Jennifer Saunders,Dawn French,John Hodgman,Animation Family Fantasy,coraline,Jennifer Saunders Dawn French John Hodgman Henry Selick Animation Family Fantasy,"When Coraline moves to an old house, she feels bored and neglected by her parents. She finds a hidden door with a bricked up passage. During the night, she crosses the passage and finds a parallel world where everybody has buttons instead of eyes, with caring parents and all her dreams coming true. When the Other Mother invites Coraline to stay in her world forever, the girl refuses and finds that the alternate reality where she is trapped is only a trick to lure her."
M. Night Shyamalan,Zooey Deschanel,Alan Ruck,Kristen Connolly,Sci-Fi Thriller,the happening,Zooey Deschanel Alan Ruck Kristen Connolly M. Night Shyamalan Sci-Fi Thriller,"When a deadly airborne virus threatens to wipe out the northeastern United States, teacher Elliott Moore (Mark Wahlberg) and his wife (Zooey Deschanel) flee from contaminated cities into the countryside in a fight to discover the truth. Is it terrorism, the accidental release of some toxic military bio weapon -- or something even more sinister? John Leguizamo and Betty Buckley co-star in this thriller from writer-director M. Night Shyamalan."
M. Night Shyamalan,Zooey Deschanel,Alan Ruck,Kristen Connolly,Sci-Fi Thriller,the happening,Zooey Deschanel Alan Ruck Kristen Connolly M. Night Shyamalan Sci-Fi Thriller,"A group of young drifters kidnap wealthy businessman Roc Delmonico just for kicks. They keep him captive, demanding a ransom for his safe release. However there is no one - wife, Mafia associates or mother - willing to part with the $200,000 ransom. Demonico is dismayed that no one appears unduly concerned about his fate and joins forces with the kidnappers to plot his revenge, blackmailing his once nearest and dearest into parting with $3,000,000 in hush money."
Tony Scott,Denzel Washington,Radha Mitchell,Giancarlo Giannini,Action Crime Drama Thriller,man on fire,Denzel Washington Radha Mitchell Giancarlo Giannini Tony Scott Action Crime Drama Thriller,"Jaded ex-CIA operative John Creasy reluctantly accepts a job as the bodyguard for a 10-year-old girl in Mexico City. They clash at first, but eventually bond, and when she's kidnapped he's consumed by fury and will stop at nothing to save her life."
Tony Scott,Denzel Washington,Radha Mitchell,Giancarlo Giannini,Action Crime Drama Thriller,man on fire,Denzel Washington Radha Mitchell Giancarlo Giannini Tony Scott Action Crime Drama Thriller,An ex-CIA agent is hired to protect the daughter of a rich American family.
Brian Robbins,Robert Downey Jr.,Joel David Moore,Kristin Davis,Comedy Family Fantasy,the shaggy dog,Robert Downey Jr. Joel David Moore Kristin Davis Brian Robbins Comedy Family Fantasy,"Through an ancient spell, a boy changes into a sheepdog and back again. It seems to happen at inopportune times and the spell can only be broken by an act of bravery...."
Brian Robbins,Robert Downey Jr.,Joel David Moore,Kristin Davis,Comedy Family Fantasy,the shaggy dog,Robert Downey Jr. Joel David Moore Kristin Davis Brian Robbins Comedy Family Fantasy,The tale of a workaholic dad-turned-dog who finds that being man's best friend shows him the most important job - being a great dad.
Todd Phillips,Snoop Dogg,Carmen Electra,Fred Williamson,Comedy Crime,starsky & hutch,Snoop Dogg Carmen Electra Fred Williamson Todd Phillips Comedy Crime,"Join uptight David Starsky and laid-back Ken ""Hutch"" Hutchinson as they're paired for the first time as undercover cops. The new partners must overcome their differences to solve an important case with help from street informant Huggy Bear and persuasive criminal Reese Feldman."
Brian Levant,Jim Belushi,Harvey Korman,Jake Lloyd,Comedy Family,jingle all the way,Jim Belushi Harvey Korman Jake Lloyd Brian Levant Comedy Family,"Meet Howard Langston, a salesman for a mattress company is constantly busy at his job, and he also constantly disappoints his son, after he misses his son's karate exposition, his son tells Howard that he wants for Christmas is an action figure of his son's television hero, he tries hard to to make it up to him. Unfortunately for Howard, it is Christmas Eve, and every store is sold out of Turbo Man, now Howard must travel all over town and compete with everybody else to find a Turbo Man action figure."
Guillermo del Toro,James Babson,Rupert Evans,Brian Steele,Action Fantasy Horror Sci-Fi,hellboy,James Babson Rupert Evans Brian Steele Guillermo del Toro Action Fantasy Horror Sci-Fi,"In the final days of World War II, the Nazis attempt to use black magic to aid their dying cause. The Allies raid the camp where the ceremony is taking place, but not before a demon - Hellboy - has already been conjured. Joining the Allied forces, Hellboy eventually grows to adulthood, serving the cause of good rather than evil."
Steven Zaillian,Robert Duvall,Kathleen Quinlan,Sydney Pollack,Drama,a civil action,Robert Duvall Kathleen Quinlan Sydney Pollack Steven Zaillian Drama,"Jan Schlickmann is a cynical lawyer who goes out to ""get rid of"" a case, only to find out it is potentially worth millions. The case becomes his obsession, to the extent that he is willing to give up everything - including his career and his clients' goals, in order to continue the case against all odds."
Chris Butler,Anna Kendrick,Kodi Smit-McPhee,Elaine Stritch,Adventure Animation Comedy Family Fantasy,paranorman,Anna Kendrick Kodi Smit-McPhee Elaine Stritch Chris Butler Adventure Animation Comedy Family Fantasy,"In the town of Blithe Hollow, Norman Babcock is a boy who can speak to the dead, but no one besides his eccentric new friend, Neil, believes his ability is real. One day, Norman's estranged eccentric uncle tells him of an important annual ritual he must take up to protect the town from an curse cast by a witch it condemned centuries ago. Eventually, Norman decides to cooperate, but things don't go according to plan. Now, a magic storm of the witch threatens Blithe Hollow as the accursed dead rise. Together with unexpected new companions, Norman struggles to save his town, only to discover the horrific truth of the curse. With that insight, Norman must resolve the crisis for good as only he can."
Michael Caton-Jones,J.K. Simmons,Bruce Willis,Sophie Okonedo,Action Adventure Crime Thriller,the jackal,J.K. Simmons Bruce Willis Sophie Okonedo Michael Caton-Jones Action Adventure Crime Thriller,"Hired by a powerful member of the Russian mafia to avenge an FBI sting that left his brother dead, the perfectionist Jackal proves an elusive target for the men charged with the task of bringing him down: a deputy FBI boss and a former IRA terrorist."
John Woo,Ivana Milicevic,Joe Morton,Callum Rennie,Action Mystery Sci-Fi Thriller,paycheck,Ivana Milicevic Joe Morton Callum Rennie John Woo Action Mystery Sci-Fi Thriller,"Michael Jennings is a genius who's hired – and paid handsomely – by high-tech firms to work on highly sensitive projects, after which his short-term memory is erased so he's incapable of breaching security. But at the end of a three-year job, he's told he isn't getting a paycheck and instead receives a mysterious envelope. In it are clues he must piece together to find out why he wasn't paid – and why he's now in hot water."
Jon Avnet,Joe Mantegna,Stockard Channing,Raymond Cruz,Drama Romance,up close & personal,Joe Mantegna Stockard Channing Raymond Cruz Jon Avnet Drama Romance,"Tally Atwater has a dream: to be a prime-time network newscaster. She pursues this dream with nothing but ambition, raw talent and a homemade demo tape. Warren Justice is a brilliant, hard edged, veteran newsman. He sees Tally has talent and becomes her mentor. Tally’s career takes a meteoric rise and she and Warren fall in love. The romance that results is as intense and revealing as television news itself. Yet, each breaking story, every videotaped crisis that brings them together, also threatens to drive them apart..."
Sam Fell,Emma Watson,Matthew Broderick,Frank Langella,Adventure Animation Comedy Family Fantasy,the tale of despereaux,Emma Watson Matthew Broderick Frank Langella Sam Fell Adventure Animation Comedy Family Fantasy,"Once upon a time... in the far away kingdom of Dor... lived a brave and virtuous mouse with comically oversized ears who dreamt of becoming a knight. Banished from his home for having such lofty ambitions, Despereaux sets off on an amazing adventure with his good-hearted rat friend Roscuro, who leads him, at long last, on a very noble quest to rescue an endangered princess and save an entire kingdom from darkness."
Kevin Donovan,Romany Malco,Debi Mazar,Ritchie Coster,Action Comedy Sci-Fi,the tuxedo,Romany Malco Debi Mazar Ritchie Coster Kevin Donovan Action Comedy Sci-Fi,"Cabbie-turned-chauffeur Jimmy Tong learns there is really only one rule when you work for playboy millionaire Clark Devlin : Never touch Devlin's prized tuxedo. But when Devlin is temporarily put out of commission in an explosive accident, Jimmy puts on the tux and soon discovers that this extraordinary suit may be more black belt than black tie. Paired with a partner as inexperienced as he is, Jimmy becomes an unwitting secret agent."
Geoff Murphy,Peter Greene,Brenda Bakke,Patrick Kilpatrick,Action Thriller,under siege 2: dark territory,Peter Greene Brenda Bakke Patrick Kilpatrick Geoff Murphy Action Thriller,"A passenger train has been hijacked by an electronics expert and turned into an untraceable command center for a weapons satellite. He has planned to blow up Washington DC and only one man can stop him, former Navy SEAL Casey Ryback."
Kenneth Branagh,Colm Feore,Nonso Anozie,Gemma Chan,Action Drama Thriller,jack ryan: shadow recruit,Colm Feore Nonso Anozie Gemma Chan Kenneth Branagh Action Drama Thriller,"Jack Ryan, as a young covert CIA analyst, uncovers a Russian plot to crash the U.S. economy with a terrorist attack."
David O. Russell,Jennifer Lawrence,Robert De Niro,Bradley Cooper,Biography Comedy Drama,joy,Jennifer Lawrence Robert De Niro Bradley Cooper David O. Russell Biography Comedy Drama,A story based on the life of a struggling Long Island single mom who became one of the country's most successful entrepreneurs.
David O. Russell,Jennifer Lawrence,Robert De Niro,Bradley Cooper,Biography Comedy Drama,joy,Jennifer Lawrence Robert De Niro Bradley Cooper David O. Russell Biography Comedy Drama,"Joy is an emotionally damaged young woman of eighteen, who was given up at birth, to grow up in homes and with foster families. She lives on the fringes of society, getting by on benefits and earning a little extra by playing the accordion in the subway. In addition, she is a skilled shoplifter and has never been caught."
Babak Najafi,Gerard Butler,Radha Mitchell,Julian Kostov,Action Crime Drama Thriller,london has fallen,Gerard Butler Radha Mitchell Julian Kostov Babak Najafi Action Crime Drama Thriller,"In London for the Prime Minister's funeral, Mike Banning discovers a plot to assassinate all the attending world leaders."
Jean-Pierre Jeunet,Gary Dourdan,Michael Wincott,Raymond Cruz,Action Horror Sci-Fi,alien: resurrection,Gary Dourdan Michael Wincott Raymond Cruz Jean-Pierre Jeunet Action Horror Sci-Fi,"Two hundred years after Lt. Ripley died, a group of scientists clone her, hoping to breed the ultimate weapon. But the new Ripley is full of surprises … as are the new aliens. Ripley must team with a band of smugglers to keep the creatures from reaching Earth."
Antoine Fuqua,Tate Donovan,Ned Beatty,Louis Ferreira,Action Crime Drama Mystery Thriller,shooter,Tate Donovan Ned Beatty Louis Ferreira Antoine Fuqua Action Crime Drama Mystery Thriller,"A marksman living in exile is coaxed back into action after learning of a plot to kill the president. Ultimately double-crossed and framed for the attempt, he goes on the run to track the real killer and find out who exactly set him up, and why."
Graham Annable,Isaac Hempstead Wright,Dee Bradley Baker,Tracy Morgan,Adventure Animation Comedy Family Fantasy,the boxtrolls,Isaac Hempstead Wright Dee Bradley Baker Tracy Morgan Graham Annable Adventure Animation Comedy Family Fantasy,"An orphaned boy raised by underground creatures called Boxtrolls comes up from the sewers and out of his box to save his family and the town from the evil exterminator, Archibald Snatcher."
Griffin Dunne,Goran Visnjic,Dianne Wiest,Stockard Channing,Comedy Drama Fantasy Romance,practical magic,Goran Visnjic Dianne Wiest Stockard Channing Griffin Dunne Comedy Drama Fantasy Romance,"Sally and Gillian Owens, born into a magical family, have mostly avoided witchcraft themselves. But when Gillian's vicious boyfriend, Jimmy Angelov, dies unexpectedly, the Owens sisters give themselves a crash course in hard magic. With policeman Gary Hallet growing suspicious, the girls struggle to resurrect Angelov -- and unwittingly inject his corpse with an evil spirit that threatens to end their family line."
Phil Lord,Morgan Freeman,Will Ferrell,Alison Brie,Action Adventure Animation Comedy Family Fantasy,the lego movie,Morgan Freeman Will Ferrell Alison Brie Phil Lord Action Adventure Animation Comedy Family Fantasy,"An ordinary Lego mini-figure, mistakenly thought to be the extraordinary MasterBuilder, is recruited to join a quest to stop an evil Lego tyrant from gluing the universe together."
